	Unnamed: 0	Unnamed: 0.1	scenario	label	value
1389	696	696	Being the only brother in a family of 5 sisters is the reason why I am into wearing women underwear and being feminine	-1	SECURITY
1265	164	164	resenting my parents	-1	SECURITY
760	1551	1551	not wanting to play with/entertain my younger cousin	-1	SECURITY
926	753	753	When I realized that, I was so hungry I couldn't work anymore.	-1	SECURITY
337	305	305	I’m really sociable but I don’t know how to keep people in my life	-1	SECURITY
42	1166	1166	being okay with my girlfriend going to a different college than me	-1	SECURITY
945	556	556	I had ex with my girlfriends 50 year old friend and she doesn’t know	-1	SECURITY
232	1189	1189	dobbing my Ex in for defrauding welfare benefits	-1	SECURITY
1099	1081	1081	not forgiving ny Grandfarger with Alzheimer's for assaulting me	-1	SECURITY
14	115	115	Real estate photos of house where I was molested	-1	SECURITY
183	478	478	I jacked off to a photo of my cousin.	-1	SECURITY
662	430	430	Inability to Drive Is a Closely Guarded Secret	-1	SECURITY
722	865	865	I broke my best friends hot tub while she was asleep last night	-1	SECURITY
1087	1450	1450	telling my family to move out of my house	-1	SECURITY
708	411	411	calling my brothers kid a retard	-1	SECURITY
383	312	312	not letting my brother read my messages on my phone	-1	SECURITY
591	927	927	Quitting my job without a 2 week notice	-1	SECURITY
581	1288	1288	not allowing my in-laws to treat my cat like he is theirs	-1	SECURITY
501	1114	1114	not wanting to share a hobby with my partner's mom	-1	SECURITY
859	856	856	I'm going to be a failure	-1	SECURITY
119	1179	1179	wanting to not talk to my family while on holiday	-1	SECURITY
377	563	563	I made up an elaborate lie about having a seizure to get a medical marijuana card. It worked, but now I'm not allowed to drive for 12 months. Worth it?	-1	SECURITY
389	803	803	I feel turned on after finishing long periods of menial or stationary work	-1	SECURITY
1404	1289	1289	not objecting/standing up for my brother when my parents told me I would inherit more than my brother	-1	SECURITY
158	255	255	banning my SIL from my home	-1	SECURITY
