	Unnamed: 0	Unnamed: 0.1	scenario	label	value
45	7	7	asking my dad for money	-1	SELF-DIRECTION
44	25	25	Got rejected by a guy I asked out, I’m questioning my self worth. Why is my default mood utter self loathing??	-1	SELF-DIRECTION
4	65	65	It was my least favorite subject in school.	-1	SELF-DIRECTION
28	18	18	I hope I don’t get banned. Very interesting story	-1	SELF-DIRECTION
60	66	66	not letting my girlfriend purposely get nudes from guys so she can show her friends	-1	SELF-DIRECTION
31	34	34	I just stole candy from a neighbour's child.	-1	SELF-DIRECTION
18	63	63	I quickly called my parents to ask for help.	-1	SELF-DIRECTION
26	14	14	I am my own worst enemy and attack myself. I want to self harm.	-1	SELF-DIRECTION
52	62	62	Thankfully, my grandpa saw me right away and pulled me out!	-1	SELF-DIRECTION
33	28	28	not backing up my mom	-1	SELF-DIRECTION
25	40	40	Just cut myself because nothing was feeling real	-1	SELF-DIRECTION
6	52	52	Pretty self-conscious about my race	-1	SELF-DIRECTION
23	22	22	I'm still a loser at 50	-1	SELF-DIRECTION
14	1	1	not immediately leaving the room when my roommate came in his his gf	-1	SELF-DIRECTION
8	6	6	going against my parents wishes to go to study medicine	-1	SELF-DIRECTION
50	21	21	I ridicule my own singing when I’m home alone just in case the man in the cowlings can hear me	-1	SELF-DIRECTION
16	39	39	I love having my feet worshipped	-1	SELF-DIRECTION
51	24	24	threatening my dad with theft	-1	SELF-DIRECTION
49	9	9	I feel so embarrassed that I only have 50 Instagram followers	-1	SELF-DIRECTION
55	5	5	kicking my brothers and cousins out of my room	-1	SELF-DIRECTION
19	4	4	not buying into my GF's preferred pronouns	-1	SELF-DIRECTION
0	61	61	Poor Eating Habits Work Against Weight-Loss Goal	-1	SELF-DIRECTION
34	46	46	My first makeout session in 7th grade was awful because she ate spicy sausage pizza right before	-1	SELF-DIRECTION
39	57	57	Earth Day Reminds Us to Clean Up Our Act	-1	SELF-DIRECTION
46	12	12	inconveniencing my group of friends by having someone in our social circle blocked	-1	SELF-DIRECTION
