	Unnamed: 0	Unnamed: 0.1	scenario	label	value
154	318	318	i hate my best friend	-1	HEDONISM
188	241	241	I pretend to be happy for my friend who keeps getting job offers but inside I’m jealous and wish it was me instead of her.	-1	HEDONISM
174	334	334	I spend everyday waiting for the day to be over, just to do the same thing tomorrow	-1	HEDONISM
264	306	306	I'm jealous of my boyfriends success in college.	-1	HEDONISM
199	179	179	not being happy that my sister is pregnant because she owes me over 5 grand	-1	HEDONISM
5	239	239	Now that i'm about to be 40 yrs old, I have deep regret over losing my virginity	-1	HEDONISM
243	360	360	Sometimes I want to get rid of the things that make me happy	-1	HEDONISM
359	165	165	not being happy with a surprise birthday party	-1	HEDONISM
83	131	131	being mad at my roommates for hooking up	-1	HEDONISM
313	47	47	I revel in the political chaos happening in the United States	-1	HEDONISM
226	51	51	I have so much existential dread I can't enjoy anything.	-1	HEDONISM
93	287	287	I don't think I'm beautiful because I'm fat	-1	HEDONISM
305	262	262	I hate the girl I dated for 4 months	-1	HEDONISM
82	291	291	Sometimes I avoid wearing my favorite clothes	-1	HEDONISM
377	92	92	going on a trip without my best friend, even though we planned it together	-1	HEDONISM
115	386	386	I have been thinking about ending my life	-1	HEDONISM
14	255	255	I refuse to be happy because I don't deserve happiness	-1	HEDONISM
251	31	31	I feel like most of my 20s have been un-enjoyable.	-1	HEDONISM
76	55	55	not saying happy new year back	-1	HEDONISM
167	206	206	 when my gf's talking it feels like my head is going to explode.	-1	HEDONISM
111	213	213	My 30th birthday is in a few weeks and I'm afraid it's going to be the final disappointment that pushes me over the edge	-1	HEDONISM
177	25	25	not congratulating pregnant sister	-1	HEDONISM
350	189	189	not being happy that my mom has taken my room	-1	HEDONISM
217	366	366	not being honest about lack of sex	-1	HEDONISM
149	39	39	laughing at a disabled kids rap during my schools talent show	-1	HEDONISM
